"","identifier","causal.intent.R1","causal.intent.R2"
"1","Article 10","No","No"
"2","Article 11","No","No"
"3","Article 12","No","No"
"4","Article 13","No","No"
"5","Article 14","No","No"
"6","Article 15","No","No"
"7","Article 16","No","No"
"8","Article 17","No","No"
"9","Article 18","No","No"
"10","Article 19","No","No"
"11","Article 20","No","No"
"12","Article 21","No","No"
"13","Article 22","No","No"
"14","Article 23","No","Yes"
"15","Article 24","No","No"
"16","Article 25","No","No"
"17","Article 26","No","No"
"18","Article 27","No","No"
"19","Article 28","Yes","No"
"20","Article 29","No","No"
"21","Article 3","No","No"
"22","Article 30","No","No"
"23","Article 31","No","No"
"24","Article 32","No","No"
"25","Article 33","No","Yes"
"26","Article 34","No","No"
"27","Article 35","No","No"
"28","Article 36","No","No"
"29","Article 37","No","No"
"30","Article 38","No","No"
"31","Article 39","No","No"
"32","Article 40","No","Yes"
"33","Article 41","Yes","Yes"
"34","Article 42","No","No"
"35","Article 43","No","No"
"36","Article 44","No","No"
"37","Article 45","Yes","Yes"
"38","Article 46","No","No"
"39","Article 47","No","No"
"40","Article 48","No","No"
"41","Article 49","No","No"
"42","Article 5","No","No"
"43","Article 50","No","No"
"44","Article 51","No","No"
"45","Article 52","Yes","Yes"
"46","Article 53","No","No"
"47","Article 54","No","No"
"48","Article 6","No","No"
"49","Article 7","Yes","No"
"50","Article 9","No","No"
